song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
Darkness, Darkness;The Youngbloods;https://i.scdn.co/image/92d5680cbf2329d8fe0f5dab3652305ea7ebdcd0;226952;2;2;2;2;1988
Darlin' - Remastered;The Beach Boys;https://i.scdn.co/image/ac23411ac6d41a3b345c85f35fccfbfa6133286f;134560;2;2;2;2;1967
Day-In Day-Out - 1999 Remaster;David Bowie;https://i.scdn.co/image/8035eed1026fd1f9c605e9da9bc96aeb8f673c15;335467;1;2;2;1;1987
Daydream Believer;The Monkees;https://i.scdn.co/image/672bbe6e50ca4f0c7b1c990df63422ad37da3531;179613;2;2;2;2;1968
Daylight & Darkness - Single Version;Smokey Robinson;https://i.scdn.co/image/7355212f31877caded5b41fb322dd6c283fdfbe8;240480;5;3;3;3;1978
Dazzey Duks;Duice;https://i.scdn.co/image/6f154028d4c2a7fb418db855c50e1a49aa5cf43f;244867;2;1;1;4;1992
Dedicate;Lil Wayne;https://i.scdn.co/image/15f95fb58aab0ef346f5241283f8ae955ff1226e;189909;4;2;2;3;2018
Deep Purple;Donny & Marie Osmond;https://i.scdn.co/image/e3df7e984e2abe8205440146aaf6bfea69e5434e;170653;2;1;1;4;1976
Deja Vu;J. Cole;https://i.scdn.co/image/51ae308118bec4be617c5cfd2061d7ace6ca499b;264747;4;1;1;4;1979
Destroyer;The Kinks;https://i.scdn.co/image/b990c83a2c565cd38462cf8e7d6955877dec0116;227067;1;1;1;1;1981
Diamonds;Herb Alpert;https://i.scdn.co/image/d540b81324a1e1ed76e2057962d088f3406990b7;293867;9;2;5;3;1987
Differences;Ginuwine;https://i.scdn.co/image/901003966e6795ad663ab864aa69079a1bcf807d;265533;2;3;3;3;2001
Diggin' on You;TLC;https://i.scdn.co/image/7ba2f43945e9b6b2c32cb16720e73bc4d63425c4;254560;4;3;3;3;1994
Digits;Young Thug;https://i.scdn.co/image/71128c075b9a68b8866c62df68d6fe39973fb7dd;176387;4;1;1;4;2016
Dirty Deeds;Joan Jett & The Blackhearts;https://i.scdn.co/image/70d892fca843b690f1bc00dde4379d5a53f41346;197760;1;1;1;1;1990
Do It;Nelly Furtado;https://i.scdn.co/image/593f2fa29c90dae2e7f4ea256ecae8a403406b78;221507;7;2;3;3;1968
Do Somethin';Britney Spears;https://i.scdn.co/image/c52d2fa4a4798645dfdc92575979b82f47dc6b25;202720;2;2;2;2;2004
Do The Boomerang;Jr. Walker & The All Stars;https://i.scdn.co/image/7bdcdb5be2db7fe09059cf96212e2a230cc93614;142160;2;2;2;2;1965
Do You Believe In Love;Huey Lewis & The News;https://i.scdn.co/image/236b7733364c0c02b3bf0bf2fc589db143905675;209000;1;2;2;1;1982
Do You Really Want To Hurt Me;Culture Club;https://i.scdn.co/image/f60ca859da8d772580eb61f349c58fb3856ddcbe;262173;2;2;2;2;1982
Doesn't Remind Me;Audioslave;https://i.scdn.co/image/2135233efc1cd17247432dc7da4fba8d72844a7e;255000;8;2;4;6;2005
Doesn't Somebody Want To Be Wanted;David Cassidy;https://i.scdn.co/image/cd7660cb86d665f9f2078660c55556cbd3b74c64;167733;2;2;2;2;1974
Doin' Time;Sublime;https://i.scdn.co/image/4862a7168866cfd07a288e110f034381a2258035;253333;6;3;3;3;1996
Doing Too Much (feat. Baby Bash) - Main;Baby Bash;https://i.scdn.co/image/86716417c84cd78bf673e20f7df78e640822e0b1;247246;4;1;1;4;2006
Don't Knock My Love, Pt. 1;Wilson Pickett;https://i.scdn.co/image/bee4a68f813178acad352b9c0ab5916c27e3e8d8;136400;2;2;2;2;1993
Don't Know What You Got (Till It's Gone);Cinderella;https://i.scdn.co/image/bd01c8a68de1450996faf501affc8137f53ed384;354640;1;1;1;1;1988
Don't Let Him Know;Prism;https://i.scdn.co/image/0e522ae8a7e55ac4e47af108180c12cee45a4525;188600;1;2;2;1;1981
Don't Let Me Be Lonely Tonight;James Taylor;https://i.scdn.co/image/3a9694930e367236d22dc3059cd81df08a767769;155200;10;3;3;3;1976
Don't Make Me Over;Sybil;https://i.scdn.co/image/7ba97705ff3d4079ab1e51bc6876bd23e9aa5c2e;243427;2;2;2;2;1997
Don't Phunk With My Heart;The Black Eyed Peas;https://i.scdn.co/image/3827b6fa7f72b77c2b10f571b1d59742664230b7;239773;2;1;1;4;2005
Don't Pull Your Love Out;Hamilton, Joe Frank & Reynolds;https://i.scdn.co/image/89748071c1d2cb1a3bb6ef0bade9544d8edbf528;163040;2;2;2;2;1971
Don't Stop (Color on the Walls);Foster The People;https://i.scdn.co/image/fb4998c955d8eba049ffbfc7ab8523a4a4a1f7e9;174920;2;1;1;4;2011
Don't Stop Me Now - Remastered;Queen;https://i.scdn.co/image/1c53c16125177f36662ae1a4945e04c3835d789b;209413;1;1;1;1;1978
Don't Talk;Jon B.;https://i.scdn.co/image/c88ada2540e2bc6e8c7b4387cac0dfd50d944e99;284467;2;2;2;2;1982
Don't Ya;Brett Eldredge;https://i.scdn.co/image/2f23bb9653f70645def1f44973b5e8a750ee52d4;181210;3;1;1;3;2013
Double Vision;Foreigner;https://i.scdn.co/image/2e4b8e8ecad44406f3bbd0eb5a1288f273aeca09;224533;1;2;2;1;1978
Down;R.K.M & Ken-Y;https://i.scdn.co/image/a24269d39748c1c2a71a6dd3ff0e0ca357bb7dd7;225693;7;2;3;3;2016
Down So Long;Jewel;https://i.scdn.co/image/c6654569ecf9edd120a90591aff9ac5e1b1d2436;255147;6;3;3;3;1995
Dr. Greenthumb;Cypress Hill;https://i.scdn.co/image/ab2d595ed660db890cf67047f345ef0f56535712;189253;4;2;2;3;2014
Dream Police;Cheap Trick;https://i.scdn.co/image/e09c9ee7146c9a3568ba9f9f204aa4fd48ea1ef4;233133;1;1;1;1;1979
Dream Weaver;Gary Wright;https://i.scdn.co/image/b58fc2db21ff16644d9579d87f607f3a78941fe9;256173;1;1;1;1;1975
Dreams;Fleetwood Mac;https://i.scdn.co/image/5cd065db740b31a135757ac8e7edc2d2507992b8;254453;1;2;2;1;1970
Dreams Collide;Colbie Caillat;https://i.scdn.co/image/b978e321f62183a72bec3cf5f21bb7d5c02ad355;242240;2;1;1;4;2007
Drift Away;Uncle Kracker;https://i.scdn.co/image/920efb9976775142fb70067826051399b7f6e672;255560;3;1;1;3;2002
Drink on It;Blake Shelton;https://i.scdn.co/image/6158ff9f13a00a5058ce4dc77f08efe092427d43;211067;3;2;3;3;2011
Drive By;Train;https://i.scdn.co/image/75833473a176f8f624692db27451eec8bbbf8aa1;195973;5;2;3;5;2012
Eddie's Love;Eddie Kendricks;https://i.scdn.co/image/71b3c4ef53daee882e74ee74765b292b40fc9aa2;209800;5;2;3;5;2005
El Amante;Nicky Jam;https://i.scdn.co/image/7306577e182cabedfab078922068638154f8b150;219507;7;1;1;4;2017
Elevators (Me & You);OutKast;https://i.scdn.co/image/2ac0a9dc1f498cb35e4a9985874a3c24c2014f4e;265200;4;3;3;3;1996
